Name,lat,long,depth,semiMajorAxisLength,semiMinorAxisLength,semiIntermediateAxisLength,majorAxisPlunge,majorAxisAzimuth,majorAxisRotation,scatter_volume
thfpoi,-12.858578,45.339406,26.446289,8.79965,2.65469,3.86025,-46.5007,174.913,112.474,17.39442
thfsed,-12.811411,45.441026,19.820312,31.3968,12.513,22.2417,-30.4219,78.6732,84.3467,542.7717
thfwxy,-12.911648,45.376033,38.373047,13.7089,2.49424,3.74608,-17.4199,154.948,279.283,132.8233
thfxpp,-12.790583,45.266108,29.442383,7.62798,1.65078,2.72067,-16.2393,110.245,251.01,13.29656
thgqem,-12.871156,45.271681,2.708008,40.6884,13.1496,17.8348,-37.9851,150.412,172.778,45.44157
thgxty,-12.662468,45.180775,58.884766,48.7089,8.64432,16.9107,-22.0267,116.886,178.704,389.6466
thhewn,-12.850993,45.446722,8.296875,39.4155,14.2559,18.389,-22.8957,112.971,238.251,1394.283
thhxbg,-12.860175,45.443106,6.049805,27.4229,9.45157,13.3364,-50.7145,91.8275,255.418,26.00481
thiall,-12.821462,45.557658,14.634766,30.0934,11.3399,13.2179,-50.1967,86.8315,154.088,169.6168
thibcc,-12.694114,45.448414,31.228516,24.0533,13.9577,23.092,6.2025,314.176,306.849,186.868
thidmt,-12.738789,45.18057,28.923828,32.5646,12.5478,20.4664,16.6674,98.2132,258.707,347.5553
thikut,-12.874556,45.214777,9.564453,28.5421,12.4009,16.0718,-8.21039,88.7769,211.305,166.5717
thindt,-12.951616,45.228269,8.469727,31.7946,8.60087,15.8396,-29.9742,151.65,233.776,16.3226
thisrh,-12.70783,45.235353,38.833984,12.5354,3.80099,5.05504,14.1075,143.375,198.928,95.51884
thiszx,-12.863298,45.23497,36.529297,12.9962,3.75449,7.69864,-0.291066,104.137,212.537,93.39055
thittz,-12.752583,45.342501,33.475586,9.23691,2.90865,3.68866,-8.89598,139.424,272.1,86.68398
thiyce,-12.94834,45.347147,29.384766,27.7166,3.73664,8.55662,-7.71381,165.087,190.342,128.6737
thjgwj,-12.466565,45.447341,56.234375,69.3531,24.5664,35.8485,-5.03556,98.135,257.331,5339.725
thjjgv,-12.78124,45.200615,38.373047,16.7125,2.41588,6.22206,-8.3623,143.492,255.745,92.17789
thjsbj,-12.793561,45.338098,36.817383,8.22553,3.01962,4.50887,-20.0984,164.35,219.337,49.78139
thkbfx,-12.826438,45.188977,33.072266,28.5399,8.52502,19.6166,-25.6082,81.9924,146.618,347.6437
thkcjv,-12.882189,45.518695,45.863281,68.2545,24.0717,31.8385,-1.48968,137.539,268.958,1032.879
thmbyp,-12.826712,45.307067,23.853516,28.0928,10.463,17.9839,-5.2867,98.3652,219.305,204.5078
thmcgw,-12.741039,45.233112,36.356445,9.04142,2.21052,3.52615,-20.9272,127.491,326.1,27.68843
thmfdo,-12.83518,45.301288,20.166016,69.4279,23.231,28.6662,-2.74818,91.0338,287.729,125.2272
thmlgf,-12.756362,45.14525,41.657227,8.54461,2.57741,2.98087,-9.81353,134.475,253.326,41.62062
thnkgv,-12.843947,45.459695,19.474609,21.8518,7.75155,9.13073,-35.2394,92.5157,144.885,83.56141
thnrtp,-12.846552,45.332949,31.919922,53.6175,18.861,32.136,4.06745,136.925,279.343,302.6845
thortg,-12.853759,45.40927,14.980469,37.8763,5.69166,13.3477,-27.9347,112.156,205.306,177.9969
thqznz,-12.804163,45.338797,36.068359,13.2228,2.97403,3.76898,-16.5818,173.536,146.246,72.95604
thrcuo,-12.866482,45.410688,34.685547,20.0725,3.19198,4.46154,-22.3707,133.807,262.237,125.8338
thvskv,-12.749624,45.279161,39.467773,9.31412,3.13672,3.54697,1.16915,129.907,185.343,67.67784
thxbuq,-12.800533,45.292004,32.092773,23.1692,4.22065,8.6261,-20.6257,80.7296,81.336,56.89853
thyixn,-12.781555,45.341723,28.232422,5.45143,1.49756,2.49752,-12.3207,139.322,217.305,26.27026
thzdln,-12.915164,45.366662,37.854492,4.7786,2.30969,2.98002,0.940382,10.1091,44.1767,49.68861
thzzaf,-12.875834,45.161478,19.589844,55.7759,27.8384,43.5714,-12.5541,69.2977,104.018,395.9596
tiaxgj,-12.934107,45.29819,7.029297,27.8345,6.45418,13.9236,-47.4523,94.9929,227.163,160.2943
tiblsx,-12.909563,45.395485,28.866211,18.036,2.84821,5.96716,-18.2694,149.629,316.145,64.76846
tiboqh,-12.852277,45.370385,27.541016,56.7945,6.57597,16.559,-7.27594,100.537,183.373,104.3082
ticjby,-12.879112,45.36025,48.398438,77.8538,26.3397,37.6591,-7.56885,115.489,282.964,4689.272
ticpxd,-12.76875,45.299994,33.417969,28.5804,12.3344,20.5649,19.6585,95.2833,21.5135,100.922
tiewqe,-12.814727,45.320774,27.598633,6.09419,2.17328,2.32379,-22.3619,151.884,279.97,20.88336
tigawm,-12.858007,45.413583,39.064453,31.3592,12.1927,17.6027,-68.3049,57.2235,264.725,157.6312
tigplr,-12.729113,45.27129,19.589844,33.1665,18.2032,29.1738,-3.09772,138.842,266.289,2765.322
tigwgv,-12.803306,45.267518,39.583008,7.60886,3.09357,3.81823,-4.19194,148.45,250.456,77.75283
tihwcz,-12.920128,45.376017,28.001953,22.6938,4.01392,7.61644,-14.7992,144.454,211.488,191.842
tihyya,-12.844004,45.500022,13.251953,17.4572,7.92748,15.7487,-7.74813,61.3474,44.2813,136.101
tijxpn,-12.860799,45.393414,16.017578,31.0749,3.92632,10.2141,-40.762,116.516,208.777,113.7547
tikclc,-12.826617,45.006798,3.745117,17.0767,6.35971,7.95645,26.3435,89.1448,26.4513,16.04633
tikiny,-12.802069,45.352481,33.706055,7.522,2.27983,2.95512,-19.6156,151.088,269.6,99.75005
tikree,-12.921473,45.339997,25.121094,44.7774,17.3412,30.0242,0.666232,27.4649,90.3432,649.0585
tikxfz,-12.947601,45.330579,34.743164,17.4177,3.84754,7.69491,-18.701,168.89,256.873,89.10978
tilaqo,-12.945648,45.422075,48.744141,20.8188,3.62074,9.56062,-12.7163,142.443,277.98,143.4194
tildhn,-12.883332,45.350158,33.302734,33.8567,8.71703,15.848,3.75316,138.658,1.74218,168.108
tilzdn,-12.832609,45.439551,16.017578,20.5083,5.26988,9.53868,-56.035,101.596,236.522,123.8918
timdkv,-12.852244,45.353101,32.611328,19.0511,6.4936,11.5558,-45.6837,124.624,269.021,123.1835
timgft,-12.746791,45.276288,38.661133,16.6601,6.55899,9.47647,-29.1738,125.697,267.563,76.8572
timjxu,-12.77867,45.312931,36.759766,11.8282,2.99293,4.14689,-17.1552,134.813,268.486,139.0516
timmir,-12.889405,45.669938,5.876953,38.1045,9.33382,11.9922,-74.4996,4.58642,221.264,292.3906
timnal,-12.876943,45.335047,32.092773,13.4674,2.19332,3.42578,-44.3175,175.869,264.852,51.58082
timuki,-12.845823,45.322149,36.702148,5.83522,2.16514,2.36573,-48.8911,140.435,205.123,50.88702
timybs,-12.821837,45.342361,29.442383,5.16487,2.01052,2.11403,-18.9089,149.042,223.465,42.26142
tindum,-12.392289,45.096676,58.539062,102.713,27.4519,29.9191,-4.73509,139.007,211.718,4844.317
tinhly,-12.810613,45.387025,21.030273,20.5192,2.40752,6.52489,-38.7407,114.592,102.816,19.55827
tinjtm,-12.889643,45.324937,32.78418,8.92327,2.44408,3.24986,-15.2881,154.396,259.034,57.84419
tinltk,-12.824052,45.393481,7.029297,31.4143,12.6539,13.3524,-35.3023,117.058,267.577,136.3975
tintrl,-12.889766,45.389759,30.594727,6.92824,2.56009,3.60313,-20.6485,156.043,270.372,64.31509
tiobxh,-12.772898,45.25823,33.763672,17.8301,3.79561,6.79307,-17.1404,144.369,254.462,166.9419
tiocrf,-12.759751,45.226947,3.658691,7.06031,2.27307,4.51509,-57.2884,73.4217,250.126,2.03386
tiodfy,-12.810389,45.274702,25.063477,3.3142,1.23523,1.99349,-21.5674,137.915,221.271,12.76651
tionik,-12.828898,45.339466,27.137695,3.21581,1.78711,2.1956,13.2909,162.06,24.697,16.15008
tiopul,-12.809053,45.310706,33.014648,7.01683,2.33015,2.55468,-19.9632,137.979,242.64,53.97225
tipchf,-12.77594,45.361892,30.537109,19.6789,5.47044,6.78746,-25.7403,99.4849,145.863,192.799
tiphwt,-12.844576,45.411446,6.280273,23.4085,4.53362,7.96718,-71.0216,116.271,113.673,23.82494
tipqid,-12.826776,45.33875,32.841797,3.70553,2.22775,2.7541,-41.9996,111.024,105.231,25.9655
tiqdqt,-12.753071,45.241,35.376953,12.1306,2.02549,3.40453,-22.9979,129.212,138.021,30.10965
tiqfpv,-12.81345,45.39278,37.854492,4.89403,2.35764,3.69771,-9.60857,173.609,276.937,58.84216
tiqqom,-12.828851,45.316424,38.200195,3.02369,2.2011,2.79491,-12.9274,115.608,258.022,20.38629
tirbnd,-12.784488,45.399313,17.400391,20.7685,4.74593,10.0128,-50.9586,107.547,256.236,236.2713
tirfvx,-12.893779,45.27595,34.051758,15.0071,2.15409,4.40756,-8.01671,144.727,260.742,31.92754
tirgme,-13.249694,45.552828,18.207031,55.4333,20.3615,39.0733,1.05077,9.72957,87.6809,1124.421
tirivj,-12.850117,45.349505,38.200195,4.95049,2.05656,3.19495,-16.2765,133.462,248.124,43.89992
