Name,Lat,Long,Depth
thfwxy,-12.789811,45.412622,42.838379
thfxpp,-12.786818,45.323353,24.977051
thgxty,-12.815178,45.636149,34.512695
thhyyx,-12.832974,45.447111,27.224121
thibcc,-12.738391,45.313738,41.196289
thidmt,-12.821167,45.361804,33.072266
thimta,-12.846095,45.479136,27.598633
thindt,-12.84595,45.3884,43.616211
thisrh,-12.756867,45.365529,37.047852
thiszx,-12.786384,45.284836,40.389648
thittz,-12.768595,45.403301,32.640137
thiyce,-12.775332,45.417327,30.709961
thjgwj,-12.815555,45.666031,35.866699
thjjgv,-12.841507,45.286152,37.508789
thjsbj,-12.755381,45.328099,36.702148
thjzyx,-12.765679,45.600197,41.541992
thkbfx,-12.733089,45.312669,33.101074
thkcjv,-12.772391,45.59911,39.842285
thmbyp,-12.799288,45.376966,36.010742
thmcgw,-12.785095,45.345315,36.125977
thmfdo,-12.848422,45.388035,29.528809
thmlgf,-12.826411,45.332631,39.842285
thmnaw,-12.764279,45.614596,37.854492
thmuxk,-12.728713,45.430364,38.430664
thnkgv,-12.792282,45.411538,38.776367
thnrtp,-12.839199,45.367889,30.277832
thortg,-12.793454,45.28626,36.241211
thqkaa,-12.770284,45.612791,39.554199
thqnzq,-12.725853,45.410215,41.311523
thqyoz,-12.774878,45.360814,26.187012
thqznz,-12.85624,45.413946,34.541504
thrcuo,-12.801194,45.460842,31.54541
thrmmh,-12.795112,45.412973,34.973633
thvbtq,-12.823341,45.391322,34.397461
thvskv,-12.72037,45.313416,41.455566
thxbuq,-12.762635,45.431747,38.545898
thyixn,-12.759349,45.370203,27.224121
thykuj,-12.826178,45.397077,45.920898
thzdln,-12.795465,45.413332,40.533691
thzzaf,-12.823134,45.643523,23.579834
tiaxgj,-12.837389,45.34521,30.825195
tiblsx,-12.810691,45.433107,31.74707
tiboqh,-12.803079,45.326919,34.368652
ticjby,-12.862881,45.372525,42.00293
ticpxd,-12.741382,45.40011,40.735352
tidvtp,-12.830398,45.385548,46.266602
tiewqe,-12.744591,45.417021,30.277832
tigawm,-12.878276,45.296152,19.071289
tigplr,-12.734303,45.392925,35.088867
tigwgv,-12.812926,45.304577,40.187988
tihwcz,-12.811926,45.333741,34.282227
tihyya,-12.815296,45.439939,28.837402
tijxpn,-12.804824,45.316475,35.088867
tikclc,-12.787174,45.324432,41.830078
tikiny,-12.818814,45.430573,30.911621
tikmau,-12.801388,45.623561,25.61084
tikree,-12.796759,45.347092,27.915527
tikxfz,-12.852966,45.361021,42.118164
tilaqo,-12.789341,45.588294,37.134277
tildhn,-12.729841,45.280646,38.084961
tilzdn,-12.76366,45.410508,35.809082
timdkv,-12.794768,45.419094,30.623535
timgft,-12.795089,45.400014,32.208008
timjxu,-12.794031,45.401095,30.73877
timmir,-12.904289,45.754201,56.637695
timnal,-12.806328,45.362553,34.62793
timuki,-12.819986,45.300962,39.266113
timybs,-12.802105,45.371201,30.364258
tindum,-12.834604,45.627132,17.544434
tinhly,-12.768409,45.306114,34.080566
tinjtm,-12.844128,45.358518,36.500488
tinltk,-12.777013,45.368729,30.623535
tintrl,-12.843556,45.435572,31.718262
tiobxh,-12.789635,45.318307,35.866699
tiocrf,-12.778,45.330931,37.624023
tiodfy,-12.823806,45.459367,30.854004
tionik,-12.782668,45.369438,26.820801
tiopul,-12.8194,45.361447,34.541504
tipchf,-12.767557,45.416621,33.533203
tiphwt,-12.788028,45.402906,34.166992
tipqid,-12.798109,45.315409,29.644043
tiqdqt,-12.815806,45.330492,31.54541
tiqfpv,-12.791971,45.437098,35.693848
tiqqom,-12.809405,45.310345,39.150879
tirbnd,-12.843165,45.412889,24.256836
tirfvx,-12.80094,45.317563,32.409668
tirivj,-12.806076,45.419794,39.32373
tirprb,-12.800444,45.432764,42.262207
tirsqx,-12.81318,45.442823,32.352051
tirtuh,-12.841559,45.310636,40.735352
tisetr,-12.871377,45.381151,37.508789
tisqeg,-12.769567,45.601273,36.327637
tistsx,-12.778748,45.595504,39.208496
titbjq,-12.801134,45.422683,31.372559
titeoq,-12.803963,45.424118,26.187012
titfjf,-12.827493,45.34379,40.274414
titkrr,-12.819141,45.414371,32.668945
titlnt,-12.749934,45.443286,43.500977
titwck,-12.764373,45.414107,32.121582
titxze,-12.756793,45.550895,39.438965
titywv,-12.841725,45.397049,33.245117
tiunjf,-12.797595,45.419089,30.277832
tiurbc,-12.816497,45.322571,39.842285
tiuvse,-12.806831,45.450033,32.755371
tiuwhg,-12.796105,45.375172,24.458496
tiuzox,-12.809928,45.399267,24.314453
tivahm,-12.918058,45.726463,25.783691
tivgil,-12.818961,45.317885,39.928711
tivjqm,-12.853016,45.388387,40.735352
tivnfj,-12.748693,45.34071,31.891113
tivqov,-12.834303,45.395982,29.183105
tivqur,-12.748085,45.393979,33.907715
tivsoy,-12.843008,45.327915,40.15918
tiwgyl,-12.840367,45.430177,37.739258
tiwnyw,-12.790161,45.410822,35.837891
tiwpgz,-12.789852,45.437821,26.129395
tixayg,-12.75374,45.394689,34.599121
tixbxa,-12.761123,45.374159,33.129883
tixdev,-12.829937,45.329023,9.478027
tixech,-12.786614,45.402909,31.055664
tixmzo,-12.841959,45.333319,41.80127
tixvsq,-12.752548,45.325225,37.739258
tixwit,-12.782156,45.290606,37.27832
tiyism,-12.731843,45.400487,36.558105
tiyqlt,-12.758352,45.405839,30.94043
tiywba,-12.775295,45.39573,27.713867
tiyysj,-12.782181,45.302125,31.74707
tiyzak,-12.867175,45.402764,27.483398
tizdsx,-12.832891,45.396705,30.854004
tizefl,-12.714071,45.343659,26.071777
tizhlq,-12.786077,45.306796,37.364746
tizomu,-12.79253,45.35286,33.38916
tizpek,-12.669275,45.669017,16.79541
tizrtr,-12.795087,45.398574,28.866211
tizsmk,-12.830467,45.425873,31.055664
tizurp,-12.807486,45.417632,24.57373
tizvtz,-12.811023,45.419786,27.512207
tizxek,-12.867035,45.327865,40.850586
tjadda,-12.794767,45.418374,21.635254
tjagqu,-12.784144,45.404713,36.27002
tjandp,-12.871454,45.425803,37.739258
tjatxu,-12.826399,45.32687,39.554199
tjbnfy,-12.778212,45.450439,43.961914
tjbupq,-12.786113,45.324075,36.788574
tjbvdy,-12.805653,45.654518,35.290527
tjbwjx,-12.626767,45.328367,44.65332
tjcjue,-12.79079,45.366903,35.549805
tjdhqw,-12.779838,45.368004,23.709473
tjdiru,-12.777321,45.581827,38.51709
tjeczs,-12.753671,45.357256,24.861816
tjefdj,-12.801889,45.266081,37.047852
tjefys,-12.745319,45.429976,41.282715
tjeklu,-12.777784,45.404724,30.796387
tjeomj,-12.807404,45.370831,24.919434
tjeotj,-12.787382,45.439625,30.998047
tjeugd,-12.830058,45.39311,30.393066
tjeupn,-12.80635,45.374073,33.014648
tjfcsv,-12.786996,45.419827,29.240723
tjfnpn,-12.80704,45.622836,29.70166
tjfqah,-12.821779,45.313559,40.389648
tjfvzq,-12.768042,45.504088,25.380371
tjfxou,-12.852068,45.456442,19.100098
tjhoza,-12.834314,45.402463,35.175293
tjizqb,-12.782749,45.415515,36.67334
tjjhuf,-12.84001,45.427657,32.294434
tjjqbm,-12.779187,45.398962,32.870605
tjjzlp,-12.767052,45.561321,36.010742
tjkijm,-12.803521,45.372638,35.319336
tjkmxc,-12.81696,45.655229,27.108887
tjlqdl,-12.810703,45.440307,26.21582
tjmlht,-12.776728,45.407246,28.05957
tjmmnc,-12.797601,45.422689,31.430176
tjmnna,-12.79633,45.309293,36.47168
tjocxb,-12.765123,45.440741,34.195801
tjoplv,-12.764065,45.441823,38.545898
tjoxuj,-12.791023,45.306065,34.541504
tjpknl,-12.774602,45.40365,36.183594
tjqowh,-12.825254,45.483127,28.203613
tjqraa,-12.7624,45.305048,33.245117
tjrjyk,-12.710142,45.322435,42.00293
tjrozt,-12.788096,45.444664,36.932617
tjrrqu,-12.748805,45.401896,27.396973
tjtjkj,-12.841787,45.434495,34.973633
tjtkfu,-12.754669,45.421862,24.184814
tjtnpm,-12.827545,45.635779,16.334473
tjtqxu,-12.766565,45.270483,40.15918
tjuocn,-12.77345,45.598029,40.216797
tjvtsq,-12.84418,45.386603,27.108887
tjvwth,-12.842808,45.410369,28.318848
tjwddd,-12.776383,45.411926,32.755371
tjwfmz,-12.792646,45.417657,34.42627
tjwnse,-12.764311,45.378832,37.422363
tjxuwp,-12.820744,45.326162,39.208496
tjxzdz,-12.820962,45.44785,30.565918
tjyroe,-12.807714,45.34815,34.166992
tjyrxe,-12.804936,45.641558,34.42627
tjzpqh,-12.786624,45.408668,34.973633
tkagqa,-12.818398,45.393491,35.607422
tkbipq,-12.734277,45.429905,0.007202
tkbrvk,-12.837378,45.339449,38.776367
tkcntw,-12.764039,45.425985,37.047852
tkczwe,-12.833323,45.44459,36.356445
tkdkap,-12.704428,45.383083,6.352295
tkdrla,-12.844598,45.424409,31.977539
tkdzpc,-12.803629,45.435998,29.09668
tkeaun,-12.784155,45.411192,29.413574
tkegal,-12.813133,45.414022,29.413574
tkemou,-12.807519,45.437792,29.125488
tkeqkx,-12.783621,45.315081,36.010742
tkerlp,-12.792596,45.388858,20.310059
tkfakm,-12.84978,45.357787,42.319824
tkgaal,-12.773486,45.638345,35.146484
tkgbjx,-12.804649,45.411156,34.714355
