Name,bias_lat,bias_long,bias_depth,semiMajorAxisLength,semiMinorAxisLength,semiIntermediateAxisLength,majorAxisPlunge,majorAxisAzimuth,majorAxisRotation,scatter_volume,ref_lat,ref_long,ref_depth,majorAxisPlungeSin,majorAxisPlungeCos,majorAxisAzimuthSin,majorAxisAzimuthCos,majorAxisRotationSin,majorAxisRotationCos
thfwxy,-12.911648,45.376033,38.373047,13.7089,2.49424,3.74608,-17.4199,154.948,279.283,132.8233,-12.789811,45.412622,42.838379,-0.2993722014607467,0.9541364079588128,0.4234406264313778,-0.9059238576654234,-0.9869036217864167,0.1613110080089191
thfxpp,-12.790583,45.266108,29.442383,7.62798,1.65078,2.72067,-16.2393,110.245,251.01,13.29656,-12.786818,45.323353,24.977051,-0.27964971962134216,0.9601020957771651,0.9382215367612945,-0.3460351831205533,-0.9455753835603061,-0.32540312537647814
thgxty,-12.662468,45.180775,58.884766,48.7089,8.64432,16.9107,-22.0267,116.886,178.704,389.6466,-12.815178,45.636149,34.512695,-0.37503862310032715,0.9270091861373385,0.8919080536363112,-0.4522167885635019,0.022617538316729534,-0.9997441907610622
thibcc,-12.694114,45.448414,31.228516,24.0533,13.9577,23.092,6.2025,314.176,306.849,186.868,-12.738391,45.313738,41.196289,0.1080427336221593,0.9941462506650875,-0.7172025725829032,0.6968647428880769,-0.8002187864187004,0.5997081739167663
thidmt,-12.738789,45.18057,28.923828,32.5646,12.5478,20.4664,16.6674,98.2132,258.707,347.5553,-12.821167,45.361804,33.072266,0.28681549407313733,0.9579858414191632,0.9897433452937079,-0.1428569579923221,-0.9806385905657172,-0.19582633809905053
thindt,-12.951616,45.228269,8.469727,31.7946,8.60087,15.8396,-29.9742,151.65,233.776,16.3226,-12.84595,45.3884,43.616211,-0.49960998245848426,0.8662504634502847,0.47485638987059453,-0.880063298291132,-0.8067128490330155,-0.5909436345414301
thisrh,-12.70783,45.235353,38.833984,12.5354,3.80099,5.05504,14.1075,143.375,198.928,95.51884,-12.756867,45.365529,37.047852,0.24374196564844378,0.9698401178451183,0.5965751134039663,-0.802557246598051,-0.3243797240272197,-0.9459269499491093
thiszx,-12.863298,45.23497,36.529297,12.9962,3.75449,7.69864,-0.291066,104.137,212.537,93.39055,-12.786384,45.284836,40.389648,-0.005080038190444618,0.999987096522742,0.96971449335674,-0.2442412769657929,-0.5378441347079628,-0.843044297033224
thittz,-12.752583,45.342501,33.475586,9.23691,2.90865,3.68866,-8.89598,139.424,272.1,86.68398,-12.768595,45.403301,32.640137,-0.15464106844553385,0.9879707181642702,0.6504561173613553,-0.7595438363828586,-0.9993283937786562,0.03664370870655648
thiyce,-12.94834,45.347147,29.384766,27.7166,3.73664,8.55662,-7.71381,165.087,190.342,128.6737,-12.775332,45.417327,30.709961,-0.1342250381745866,0.9909508762431318,0.25735205031132974,-0.9663177128670233,-0.17952339241417917,-0.9837537047331028
